primary_sponsor,total_visibility,avg_visibility,std_visibility,min_visibility,max_visibility,race_count,avg_finish,total_wins,total_laps_led,visibility_rank
Progressive,767.7238950715242,14.763921059067773,13.976894384917083,1.4571756167311314,100.0,52,12.076923076923077,10,1848,1
Castrol,319.9212451089331,6.036249907715718,5.614883721433428,0.0,37.577809694429334,53,18.81132075471698,0,382,2
Busch Light,303.0292503340138,5.717533025170072,4.503188728882755,0.16190840185901365,28.628570510818335,53,17.22641509433962,1,143,3
Love's Travel Stops,99.3409779659884,1.8743580748299697,2.648326423682614,0.0,18.023570189052876,53,20.962264150943398,0,30,4
Cheddar's Scratch Kitchen,65.2520016935756,5.437666807797966,4.665097185079904,0.1326917836317585,14.247939363593288,12,24.916666666666668,0,1,5
Other/Unknown,0.0,,,,,0,1.2075471698113207,42,11458,6
