primary_sponsor,total_visibility,visibility_rank,cost_mid,efficiency,efficiency_rank,rank_stability
Progressive,767.7238950715242,1,18.0,42.65132750397357,3,0
Castrol,319.9212451089331,2,4.5,71.09361002420735,1,0
Busch Light,303.0292503340138,3,13.0,23.309942333385678,4,0
Love's Travel Stops,99.3409779659884,4,4.5,22.075772881330757,5,0
Cheddar's Scratch Kitchen,65.2520016935756,5,1.5,43.50133446238373,2,0
