Primary_Sponsor,Avg_Finish,Best_Finish,Finish_StdDev,Total_Laps_Led,Avg_Laps_Led,Num_Drivers,Total_Race_Entries,Top_5_Rate,Top_10_Rate,Win_Rate
Busch Light,17.23,1,10.39,143,2.7,1,53,9.433962264150944,30.18867924528302,1.8867924528301887
Castrol,18.81,2,11.54,382,7.21,1,53,15.09433962264151,32.075471698113205,0.0
FedEx,12.08,1,11.37,1848,35.54,1,52,44.230769230769226,55.769230769230774,19.230769230769234
Love's Travel Stops,20.96,2,8.63,30,0.57,1,53,1.8867924528301887,11.320754716981133,0.0
Other/Unknown,19.74,1,10.99,11458,6.4,57,1790,12.737430167597767,25.754189944134076,2.346368715083799
cheddar's Scratch Kitchen,24.92,9,7.44,1,0.08,1,12,0.0,8.333333333333332,0.0
