race_number,Busch Light,Castrol,Cheddar's Scratch Kitchen,Love's Travel Stops,Progressive
1,11.245331236554957,,,2.745952976368069,
2,,,8.733875703542632,,
3,10.591532908848272,10.983811905472283,,3.661270635157426,
5,,11.245331236554957,,1.9613949831200523,
6,,,,1.4383563209547006,20.659023361740438
7,,,,,49.082233079466256
8,11.376090902096294,13.337485885216344,7.322541270314856,,
9,10.591532908848272,,7.845579932480202,1.6998756520373766,22.098383476485903
10,,,,2.3536739797440576,20.947229982619785
11,,,,2.2749505020750567,17.469424396736535
12,14.645082540629714,,,2.3536739797440576,24.87035454679014
14,9.153176587893569,,,1.9613949831200523,29.075662969095273
15,10.3300135777656,,,,
16,,8.760897591269558,,,
17,7.322541270314856,,,,21.207076324051187
19,11.376090902096294,,,,17.783314513621793
20,,4.184309297322775,,3.399751304074756,
21,,,14.775842206171047,0.7845579932480192,19.779768419411077
22,9.153176587893569,,,,19.692338710939257
23,3.399751304074756,,7.19178160477352,2.484433645285396,
24,1.6998756520373766,,,,16.08343886158442
25,,,,0.0,4.707347959488121
26,,,7.584060601397528,,
27,2.0747290246792125,,,,
28,5.762352351703061,,,,21.200364518453352
29,,5.341713075631107,,1.0550043922149404,
30,,,,,5.37007335507905
31,,,4.977794358455043,,
32,4.454755696289697,4.062476699665683,,1.8395623854629597,23.414907199783517
33,,,,6.625299224689832,
34,5.082201332129958,,38.52898462712472,6.10159136666398,
36,26.42237950723426,34.60753305260564,83.17207435217439,16.74616425717534,100.0
37,3.5558598676917463,6.276463945984162,,5.047256170309546,
38,,,10.983811905472283,0.3922789966240081,
39,2.0134311709923804,,,0.3922789966240081,
41,,,1.4383563209547006,0.3922789966240081,
44,1.3075966554133653,,,1.4383563209547006,
45,5.491905952736141,,,0.0,
46,,6.145704280442825,3.0074723074507417,1.3075966554133653,
47,,,,0.0,13.022257376610069
48,4.236345485195106,,,,10.460773243306939
50,2.615193310826734,,,1.3075966554133653,20.695755274060943
51,1.7782645317761276,,,0.3922789966240081,
52,1.3075966554133653,3.399751304074756,,0.8626122750565173,
