Driver,Owner,Primary_Sponsor,Avg_Finish,Best_Finish,Finish_StdDev,Races_Started,Total_Laps_Led,Avg_Laps_Led_Per_Race,Races_Completed,Top_5_Finishes,Top_10_Finishes,Wins,Top_5_Rate,Top_10_Rate
Ricky Stenhouse Jr,HYAK Motorsports,Other/Unknown,22.4,2,9.37,53,14,0.26,36,3,6,0,5.7,11.3
Riley Herbst,23XI Racing,Other/Unknown,24.47,8,7.9,53,7,0.13,36,0,2,0,0.0,3.8
Ross Chastain,Trackhouse Racing,Busch Light,17.23,1,10.39,53,143,2.7,36,5,16,1,9.4,30.2
Ryan Blaney,Team Penske,Other/Unknown,13.64,1,12.49,53,1162,21.92,36,18,31,5,34.0,58.5
Ryan Preece,Jack Roush,Other/Unknown,16.36,3,9.28,53,164,3.09,36,3,16,0,5.7,30.2
Ryan Truex,Joe Gibbs,Other/Unknown,23.0,23,,1,0,0.0,1,0,0,0,0.0,0.0
Shane Van Gisbergen,Trackhouse Racing,Other/Unknown,20.55,1,11.77,53,422,7.96,36,8,11,6,15.1,20.8
Timmy Hill,Carl Long,Other/Unknown,36.0,35,1.0,3,0,0.0,3,0,0,0,0.0,0.0
Todd Gilliland,Bob Jenkins,Love's Travel Stops,20.96,2,8.63,53,30,0.57,36,1,6,0,1.9,11.3
Ty Dillon,Matthew Kaulig,Other/Unknown,24.77,8,7.78,53,22,0.42,36,0,1,0,0.0,1.9
Ty Gibbs,Joe Gibbs,Other/Unknown,16.55,1,10.86,53,406,7.66,36,11,20,1,20.8,37.7
Tyler Reddick,23XI Racing,Other/Unknown,12.47,1,9.44,53,597,11.26,36,17,26,5,32.1,49.1
Will Brown,Matthew Kaulig,Other/Unknown,39.0,39,,1,0,0.0,1,0,0,0,0.0,0.0
William Byron,Rick Hendrick,Other/Unknown,15.23,1,11.9,53,1371,25.87,36,14,24,3,26.4,45.3
Zane Smith,Bob Jenkins,Other/Unknown,20.58,3,10.29,53,84,1.58,36,3,11,0,5.7,20.8
