primary_sponsor,total_visibility,avg_visibility,std_visibility,min_visibility,max_visibility,race_count,avg_finish,total_wins,total_laps_led,visibility_rank
Progressive,477.619727569324,23.8809863784662,20.11256133678271,4.707347959488121,100.0,20,10.6,4,839,1
Cheddar's Scratch Kitchen,195.56217519031165,16.29684793252597,23.141038768115614,1.4383563209547006,83.17207435217439,12,17.5,0,39,2
Busch Light,176.9868079211347,7.079472316845388,5.6754017402957295,1.3075966554133653,26.42237950723426,25,18.72,0,27,3
Castrol,108.3454782742401,9.849588934021826,8.851747988812338,3.399751304074756,34.60753305260564,11,18.90909090909091,0,39,4
Love's Travel Stops,71.0194426447796,2.4489462980958483,3.232944921368595,0.0,16.74616425717534,29,21.724137931034484,0,23,5
Other/Unknown,0.0,,,,,0,1.0754716981132075,49,12895,6
