primary_sponsor,total_visibility,visibility_rank,cost_mid,efficiency,cost_per_point,efficiency_rank,confidence
Cheddar's Scratch Kitchen,195.56217519031165,2,4.9,39.91064799802278,25055.97002708503,1,low-medium
Progressive,477.619727569324,1,18.0,26.53442930940689,37686.88553047129,2,medium
Castrol,108.3454782742401,4,4.5,24.07677294983113,41533.80530205207,3,medium
Love's Travel Stops,71.0194426447796,5,4.5,15.782098365506577,63362.930381019825,4,medium
Busch Light,176.9868079211347,3,13.0,13.614369840087285,73451.8021580049,5,low-medium
